紅蔥餐館台科店,B2,A5,C4,台北市大安區基隆路三段137號
50嵐台大店,B1,A12,C2,台北市大安區羅斯福路三段345號
一芳水果茶台北公館店,B1,A12,C2,台北市大安區羅斯福路三段345號
鼎太極麻辣鍋,B3,A7,C2,台北市大安區新生南路三段104號
路易莎咖啡台大店,B1,A13,C2,台北市大安區新生南路三段100號
銅樂咖啡,B2,A13,C2,台北市大安區新生南路三段96-1號
肯德基KFC-台北台大餐廳,B1,A1,C2,台北市大安區新生南路三段96-1號
ImPerfect Cafe,B2,A13,C2,台北市大安區新生南路三段96-5號
爭鮮迴轉壽司,B2,A7,C2,台北市大安區新生南路三段88-4號
麥當勞（新生南路）,B1,A1,C2,台北市大安區新生南路三段88-2號
西雅圖極品咖啡,B1,A13,C2,台北市大安區新生南路三段88號
靈感咖啡,B1,A13,C2,台北市大安區新生南路三段84-6號3樓
臺一牛奶大王,B1,A11,C2,台北市大安區新生南路三段82號
滴咖啡,B2,A13,C2,台北市大安區新生南路三段76巷1號
光一肆號,B2,A13,C2,台北市大安區新生南路三段76巷2號
Pasta 2 Go,B1,A4,C2,台北市大安區新生南路三段72號
上好魚翅燕窩,B4,A3,C2,台北市大安區新生南路三段68-1號
鳳城燒臘粵菜,B1,A6,C2,台北市大安區新生南路三段58之3號
溫州大餛飩,B1,A3,C2,台北市大安區新生南路三段54-7號
大聲公牛肉麵店,B1,A3,C2,台北市大安區新生南路三段54之6號
小飯廳,B1,A3,C2,台北市大安區羅斯福路三段333巷6號
七里亭,B1,A3,C2,台北市大安區羅斯福路三段333巷8號
俄羅斯城堡,B2,A4,C2,台北市大安區羅斯福路三段333巷14號
集客人間茶館,B2,A14,C2,台北市大安區羅斯福路三段333巷18號
coco Brownies,B1,A10,C2,台北市大安區羅斯福路三段283巷14弄16-1號
八方雲集（台大店）,B1,A3,C2,台北市大安區羅斯福路三段333巷9號
豪香熱炒,B1,A3,C2,台北市大安區羅斯福路三段333巷7號
好處 Have A Nice Day,B2,A13,C2,台北市大安區羅斯福路三段283巷14弄30號
安好食,B1,A5,C2,台北市大安區新生南路三段86巷9號
至香園沙茶牛肉乾麵,B2,A3,C2,台北市大安區新生南路三段86巷15號
So Free 柴燒窯烤,B2,A4,C2,台北市大安區新生南路三段86巷19號
雪可屋,B1,A12,C2,台北市大安區溫州街86號
韓庭州韓國料理,B1,A9,C2,台北市大安區溫州街87號
瑪莉珍比薩,B2,A4,C2,台北市大安區溫州街89號
好想吃冰（台大公館店）,B1,A11,C2,台北市大安區溫州街80號
Riad Chi Chi異國料理,B3,A14,C2,台北市大安區新生南路三段76巷16號
The French Kiss吻吧,B2,A4,C2,台北市台北市新生南路三段76巷5-1號1樓
老爺De 蛋蛋屋,B1,A7,C2,台北市大安區新生南路三段76巷10-2號
彼克蕾友善咖啡館,B2,A13,C2,台北市大安區新生南路三段76巷5號
溏老鴨平價小火鍋,B2,A7,C2,台北市大安區新生南路三段70巷3號
公館咖哩先生,B2,A3,C2,台北市大安區新生南路三段70巷6號後棟（橘色外牆）
Roux,B2,A4,C2,台北大安區新生南路三段68-2號106
妙媽媽小廚坊,B2,A3,C2,台北市台北市大安區新生南路3段68之2號
左巴好室好事,B3,A14,C2,台北市大安區溫州街74巷1弄2號
柒食貳,B1,A3,C2,台北市大安區溫州街72號
會津屋日式食堂,B2,A7,C2,台北市大安區新生南路三段60巷12號
霞飛驛歐法店餐,B2,A4,C2,台北市大安區新生南路三段60巷8號
EMALII 伊瑪利義大利麵館,B1,A4,C2,台北市大安區新生南路三段60巷5號
蘇活義大利麵,B2,A4,C2,台北市大安區新生南路三段60巷3號
尚家香雲南美味麵食館,B1,A3,C2,台北市大安區新生南路三段60巷2之1號
羊毛與花 溫州,B2,A13,C2,台北市大安區新生南路三段60巷1號
感恩小館,B2,A4,C2,台北市大安區新生南路三段56巷6號
麵之彩,B1,A7,C2,台北市大安區新生南路三段56巷8號
閒山咖啡,B2,A13,C2,台北市大安區新生南路三段56巷11號
女巫店,B2,A14,C2,台北市大安區新生南路三段56巷7號
摩斯漢堡,B1,A1,C1,小福樓2F餐飲部
果小姐,B1,A12,C1,小福樓2F餐飲部
八方雲集,B1,A3,C1,小福樓2F餐飲部
民豐號,B1,A3,C1,小福樓2F餐飲部
比司多早午餐,B1,A9,C1,小福樓2F餐飲部
文湯武醬,B1,A3,C1,小福樓2F餐飲部
All Pass,B1,A7,C1,小福樓2F餐飲部
御喜自助餐,B1,A2,C1,第一學生活動中心餐廳
韓風小舖,B1,A9,C1,第一學生活動中心餐廳
食香園素食館,B1,A9,C1,第一學生活動中心餐廳
金盃美而美,B1,A9,C1,第一學生活動中心餐廳
阿諾廚房,B1,A3,C1,第一學生活動中心餐廳
四海遊龍,B1,A3,C1,第一學生活動中心餐廳
樂法Le Phare,B1,A12,C1,第一學生活動中心餐廳
麥當勞,B1,A1,C1,第一學生活動中心餐廳
純義西點麵包坊,B1,A9,C1,第一學生活動中心餐廳
金閣屋,B1,A7,C1,大一女宿舍餐廳
日式食堂,B1,A7,C1,大一女宿舍餐廳
桔客義式麵屋,B1,A4,C1,大一女宿舍餐廳
華克山莊:傳統韓國料理,B1,A9,C1,大一女宿舍餐廳
椰林燒臘,B1,A6,C1,大一女宿舍餐廳
吉登自助餐,B1,A2,C1,大一女宿舍餐廳
比司多早午餐,B1,A9,C1,大一女宿舍餐廳
悠悠鮮果屋,B1,A10,C1,大一女宿舍餐廳
蔬食小舖,B1,A9,C1,大一女宿舍餐廳
傅阿嬤的廚房,B1,A3,C1,大一女宿舍餐廳
汝茶坊,B1,A12,C1,大一女宿舍餐廳
coco壹番屋,B2,A7,C1,大一女宿舍餐廳
女九宿舍餐廳自助餐,B1,A2,C1,女九宿舍餐廳
女九宿舍餐廳滷味,B1,A3,C1,女九宿舍餐廳
女九宿舍餐廳輕鬆吧,B1,A12,C1,女九宿舍餐廳
女九宿舍餐廳早餐,B1,A9,C1,女九宿舍餐廳
女九宿舍餐廳大方甜品屋,B1,A10,C1,女九宿舍餐廳
女九宿舍餐廳大方快餐,B1,A3,C1,女九宿舍餐廳
禾家飯館 麵荷,B1,A3,C1,社科院OEC
老農夫(鮮果 花禮 輕食),B1,A10,C1,社科院OEC
第一小吃部,B1,A3,C1,小小福
第二小吃部,B1,A9,C1,小小福
第三小吃部,B1,A10,C1,小小福
帕兔,B1,A4,C1,小小福
原典鮮沏茶,B1,A12,C1,小小福
小木屋,B1,A10,C1,小小福
稍飽,B1,A3,C1,醉月湖1號貨櫃屋
SUBWAY,B1,A1,C1,第二學生活動中心
莫凡彼,B1,A13,C1,第二學生活動中心
龐德羅莎,B3,A4,C1,第二學生活動中心
魯山人和風壽喜鍋物,B3,A7,C1,第二學生活動中心
lacuz,B2,A8,C1,第二學生活動中心
小蔬杭,B3,A9,C1,第二學生活動中心
歐亞穀果義式餐廳gugo kitchen,B3,A4,C1,第二學生活動中心
義饗食堂,B4,A2,C1,尊賢館
拿坡里,B2,A1,C6,台北市大安區和平東路二段66號
漢堡王,B1,A1,C6,台北市中正區羅斯福路三段246號
寒舍艾美酒店探索廚房,B4,A2,C6,台北市信義區松仁路38號
豐FOOD．海陸百匯,B4,A2,C6,台北市中山區植福路8號
欣葉台式料理,B4,A3,C6,台北市大安區忠孝東路四段112號
金蓬萊遵古台菜餐廳,B4,A3,C6,台北市士林區天母東路101號
STAGIAIRE 實習生,B4,A4,C6,台北市大安區敦化南路一段236巷16號
蘿絲瑪莉義麵坊,B2,A4,C6,台北市中山區南京西路12巷13弄9號
TGI FRIDAYS 星期五美式餐廳,B4,A5,C6,台北市中正區羅斯福路二段60號
添好運,B3,A6,C6,台北市信義區松高路12號
頤宮中餐廳,B4,A6,C6,台北市大同區承德路一段3號
台灣壽司郎,B3,A7,C6,台北市中正區館前路8號
一蘭拉麵,B3,A7,C6,台北市信義區松仁路97號
瓦城泰國料理,B4,A8,C6,台北市大安區安和路二段133號
士林夜市,B2,A9,C6,台北市士林區基河路101號
羅東夜市,B2,A9,C6,宜蘭縣羅東鎮民權路110號
瑞豐夜市,B2,A9,C6,高雄市左營區裕誠路南屏路
花蓮東大門國際觀光夜市,B2,A9,C6,花蓮縣花蓮市中山路50號
ISM 主義甜時,B2,A10,C6,台北市大安區忠孝東路四段216巷32弄7號
思慕昔,B2,A11,C6,台北市大安區永康街15號
船來雪淇淋,B1,A11,C6,台北市南港區東新街88號
